Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,valence,arousal,Scene_ID,Influence_0,Influence_1,ElapsedTime_0,ElapsedTime_1,Sequence_Length
11,No dont I beg of you!,Chandler,fear,negative,0,10,8,21,"00:17:02,856","00:17:04,858",0,1,1,0.0,0.0,1.0,1.0,1
26,Do I ever.,Chandler,joy,positive,2,2,3,6,"0:05:53,897","0:05:55,743",1,1,2,0.0,0.0,1.0,1.0,1
30,Just coffee! Where are we gonna hang out now?,Chandler,disgust,negative,2,6,3,6,"00:06:02,362","00:06:07,157",0,1,2,0.0,0.8811188811188811,1.0,0.0,2
34,You betcha!,Chandler,joy,positive,2,10,3,6,"0:06:10,161","0:06:10,973",1,1,2,0.0,0.8811188811188811,1.0,0.0,3
36,"Um-mm, yeah right!",Chandler,joy,positive,2,12,3,6,"00:06:12,288","00:06:13,497",1,1,2,0.0,0.8811188811188811,1.0,0.0,4
66,Good job Joe! Well done! Top notch!,Chandler,joy,positive,6,0,8,22,"00:12:24,315","00:12:27,526",1,1,3,0.0,0.0,1.0,1.0,1
68,"Oh-ho-ho, yeah!",Chandler,joy,positive,6,2,8,22,"0:12:29,796","0:12:31,501",1,1,3,0.0,0.8811188811188811,1.0,0.0,2
72,"I love the specifics, the specifics were the best part!",Chandler,joy,positive,6,6,8,22,"00:12:38,954","00:12:43,000",1,1,3,0.0,0.8811188811188811,1.0,0.0,3
80,Dont go!,Chandler,sadness,negative,6,14,8,22,"0:13:08,202","0:13:08,804",0,0,3,0.0,0.8811188811188811,1.0,0.0,1
81,Im sorry.,Chandler,sadness,negative,6,15,8,22,"0:13:08,804","0:13:09,526",0,0,3,0.22727272727272727,0.0,0.0,1.0,2
82,Im so sorry!,Chandler,sadness,negative,6,16,8,22,"0:13:09,526","0:13:10,832",0,0,3,0.21994134897360704,0.0,0.03225806451612903,1.0,3
84,This guy fell asleep!,Chandler,anger,negative,6,18,8,22,"0:13:11,407","0:13:12,589",0,1,3,0.21349862258953167,0.0,0.06060606060606061,1.0,1
85,He fell asleep too!,Chandler,anger,negative,6,19,8,22,"0:13:12,589","0:13:13,215",0,1,3,0.0,0.5874125874125875,1.0,0.3333333333333333,2
86,Be mad at him!,Chandler,anger,negative,6,20,8,22,"0:13:13,215","0:13:14,108",0,1,3,0.0,0.6608391608391608,1.0,0.25,3
87,"Or, call an ambulance.",Chandler,anger,negative,6,21,8,22,"00:13:16,367","00:13:18,244",0,1,3,0.0,0.5034965034965034,1.0,0.42857142857142855,4
94,"Great! Okay, here.",Chandler,joy,positive,8,4,6,23,"00:19:32,129","00:19:34,964",1,1,4,0.0,0.0,1.0,1.0,1
96,Thank you. Thank you. Thank you!  And,Chandler,joy,positive,8,6,6,23,"0:19:39,934","0:19:40,074",1,1,4,0.0,0.8811188811188811,1.0,0.0,2
100,Can you hold on a moment? I have another call.  I love her.,Chandler,joy,positive,9,3,2,5,"00:02:10,547","00:02:14,758",1,1,5,0.0,0.0,1.0,1.0,1
106,Ok.  Ok. Having a phone has finally paid off.,Chandler,joy,positive,9,9,2,5,"00:02:32,318","00:02:34,528",1,1,5,0.0,0.8811188811188811,1.0,0.0,2
110,"Ok, pure evil , horny and alone . I've done this",Chandler,anger,negative,9,13,2,5,"00:02:56,634","00:03:05,058",0,1,5,0.0,0.8811188811188811,1.0,0.0,3
120,Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.,Chandler,joy,positive,11,3,4,23,"00:03:22,869","00:03:25,704",1,1,6,0.0,0.0,1.0,1.0,1
129,"Thats great, but shouldnt you be on the toilet right now?",Chandler,disgust,negative,12,2,6,4,"00:09:57,346","00:10:00,890",0,1,7,0.0,0.0,1.0,1.0,1
131,Whats wrong with you?,Chandler,disgust,negative,12,4,6,4,"0:10:05,647","0:10:06,929",0,1,7,0.0,0.8811188811188811,1.0,0.0,2
137,Thats a hernia.,Chandler,disgust,negative,12,10,6,4,"00:10:34,842","00:10:36,009",0,1,7,0.0,0.8811188811188811,1.0,0.0,3
239,Okay! You dont think I thought of that?,Chandler,anger,negative,23,1,3,11,"00:10:17,825","00:10:19,909",0,1,8,0.0,0.0,1.0,1.0,1
285,"Okay, all right, all right, all right! Okay!  Okay, here's something, here's something blue and new.",Chandler,joy,positive,27,1,5,24,"00:21:04,763","00:21:11,060",1,1,9,0.0,0.0,1.0,1.0,1
295,"I do! Want a hint? huh? ""I do""  ""I do"".",Chandler,joy,positive,29,1,9,23,"00:08:26,839","00:08:31,426",1,1,10,0.0,0.0,1.0,1.0,1
297,David is going to propose to Phoebe.,Chandler,joy,positive,29,3,9,23,"0:08:44,083","0:08:45,668",1,1,10,0.0,0.8811188811188811,1.0,0.0,2
328,Will you marry me?,Chandler,fear,negative,33,0,6,24,"00:03:44,724","00:03:49,102",0,1,11,0.0,0.0,1.0,1.0,1
336,You are beautiful.,Chandler,joy,positive,33,8,6,24,"00:04:28,142","00:04:32,020",1,1,11,0.0,0.8811188811188811,1.0,0.0,2
366,What a baby.,Chandler,sadness,negative,36,4,4,22,"0:21:28,287","0:21:28,999",0,0,12,0.0,0.0,1.0,1.0,1
472,"No, no, youre right, it is a ridiculous name!",Chandler,disgust,negative,45,1,4,18,"00:17:02,104","00:17:05,106",0,1,13,0.0,0.0,1.0,1.0,1
474,"Yes it is! From now on, I have no first name.",Chandler,anger,negative,45,3,4,18,"00:17:09,361","00:17:12,321",0,1,13,0.0,0.8811188811188811,1.0,0.0,2
484,Yeah baby!,Chandler,joy,positive,46,8,4,19,"00:13:23,969","00:13:26,596",1,1,14,0.0,0.0,1.0,1.0,1
488,Tickets please!  Thats courtside baby!,Chandler,joy,positive,46,12,4,19,"00:13:32,561","00:13:39,317",1,1,14,0.0,0.8811188811188811,1.0,0.0,2
490,No they didnt!,Chandler,joy,positive,46,14,4,19,"00:13:48,285","00:13:49,619",1,1,14,0.0,0.8811188811188811,1.0,0.0,3
522,I couldnt do it.,Chandler,sadness,negative,49,12,6,18,"0:13:40,402","0:13:41,464",0,0,15,0.0,0.0,1.0,1.0,1
