Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,valence,arousal,Scene_ID,Influence_0,Influence_1,ElapsedTime_0,ElapsedTime_1,Sequence_Length
27,Chris says theyre closing down the bar.,Monica,sadness,negative,2,3,3,6,"0:05:57,023","0:05:58,734",0,0,1,0.0,0.0,1.0,1.0,1
31,Got me.,Monica,sadness,negative,2,7,3,6,"00:06:04,489","00:06:07,157",0,0,1,0.2345679012345679,0.0,0.0,1.0,2
118,"All right, yknow what? We really are late! Lets go! Lets go! Lets go!!",Monica,anger,negative,11,1,4,23,"00:03:13,318","00:03:16,737",0,1,2,0.0,0.0,1.0,1.0,1
222,Would you look at her? She is so peaceful.,Monica,joy,positive,21,2,1,4,"00:01:54,989","00:02:00,994",1,1,3,0.0,0.0,1.0,1.0,1
284,"Okay, come on, I can't get married until I get something old, something new, something borrowed, and something blue.",Monica,sadness,negative,27,0,5,24,"00:20:18,592","00:20:24,805",0,0,4,0.0,0.0,1.0,1.0,1
300,"Chandler, we have talked about this.",Monica,anger,negative,29,6,9,23,"00:08:54,575","00:08:56,952",0,1,5,0.0,0.0,1.0,1.0,1
301,You are not supposed to give people advice!,Monica,anger,negative,29,7,9,23,"00:08:57,119","00:08:59,871",0,1,5,0.0,0.8705636743215032,1.0,0.0,2
302,Now couldn't you just have made some sort of inappropriate joke?,Monica,anger,negative,29,8,9,23,"00:09:01,541","00:09:04,209",0,1,5,0.0,0.8705636743215032,1.0,0.0,3
304,They've only been going out for a few weeks and Phoebe is completely hung up on Mike!,Monica,anger,negative,29,10,9,23,"00:09:09,924","00:09:16,555",0,1,5,0.0,0.8705636743215032,1.0,0.0,4
305,"She'll say ""No"", David's heart will be broken, it will be too hard for them to recover from and then Phoebe will end up alone",Monica,anger,negative,29,11,9,23,"00:09:16,722","00:09:26,356",0,1,5,0.0,0.8705636743215032,1.0,0.0,5
337,"Oh, thank you!   Whats going on?",Monica,joy,positive,33,9,6,24,"00:04:37,402","00:04:44,616",1,1,6,0.0,0.0,1.0,1.0,1
393,"Yeah! Okay, this one is a mushroom cap.  Umm, this one is made of bologna.",Monica,joy,positive,37,2,7,19,"00:15:49,073","00:15:53,910",1,1,7,0.0,0.0,1.0,1.0,1
395,You kissed another woman!,Monica,anger,negative,38,0,8,2,"00:20:20,844","00:20:23,012",0,1,8,0.0,0.0,1.0,1.0,1
397,Okay!,Monica,joy,positive,38,2,8,2,"0:20:25,660","0:20:26,370",1,1,8,0.0,0.8705636743215032,1.0,0.0,2
435,"Uh sorry, wrong number.",Monica,fear,negative,40,9,8,4,"0:05:10,977","0:05:12,187",0,1,9,0.0,0.0,1.0,1.0,1
439,I dont think this numbers right!,Monica,sadness,negative,40,13,8,4,"00:05:22,864","00:05:24,448",0,0,9,0.0,0.8705636743215032,1.0,0.0,1
476,Because we won our apartment back!,Monica,joy,positive,46,0,4,19,"00:12:41,177","00:12:42,927",1,1,10,0.0,0.0,1.0,1.0,1
478,"No! Ace is low! Ace, two, three, four!",Monica,anger,negative,46,2,4,19,"00:12:46,432","00:12:49,184",0,1,10,0.0,0.8705636743215032,1.0,0.0,2
485,"But, we pick again! We pick again!",Monica,joy,positive,46,9,4,19,"00:13:27,223","00:13:28,932",1,1,10,0.0,0.8705636743215032,1.0,0.0,3
487,I dont know!,Monica,fear,negative,46,11,4,19,"0:13:29,767","0:13:30,673",0,1,10,0.0,0.8705636743215032,1.0,0.0,4
