Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,valence,arousal,Scene_ID,Influence_0,Influence_1,ElapsedTime_0,ElapsedTime_1,Sequence_Length
16,You know? Forget it!,Rachel,sadness,negative,1,1,9,23,"00:36:44,368","00:36:46,578",0,0,1,0.0,0.0,1.0,1.0,1
18,"No, I-I-I-I don't, I actually don't know",Rachel,fear,negative,1,3,9,23,"00:36:49,290","00:36:51,791",0,1,1,0.7319587628865979,0.0,0.0,1.0,2
55,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldnt shut up.",Rachel,joy,positive,4,8,3,11,"00:20:32,397","00:20:40,446",1,1,2,0.0,0.0,1.0,1.0,1
57,Me too!,Rachel,joy,positive,4,10,3,11,"0:20:41,991","0:20:43,543",1,1,2,0.0,0.5726141078838174,1.0,0.0,2
174,"Oh yeah, now everybody wants to be under this hat!",Rachel,joy,positive,16,1,3,25,"00:04:42,407","00:04:44,574",1,1,3,0.0,0.0,1.0,1.0,1
183,"Oh boy, I just can't watch. It's too scary!",Rachel,fear,negative,17,4,5,19,"00:06:33,976","00:06:37,020",0,1,4,0.0,0.0,1.0,1.0,1
185,"Oh yeah well, you know me, babies, responsibilities, ahhh!!!",Rachel,fear,negative,17,6,5,19,"00:06:40,817","00:06:43,735",0,1,4,0.7319587628865979,0.0,0.0,1.0,2
241,I mean thats unbelievable.,Rachel,joy,positive,23,3,3,11,"0:10:22,422","0:10:23,751",1,1,5,0.0,0.0,1.0,1.0,1
254,"Okay. Honey, I would love for you to go with me.  What?",Rachel,joy,positive,24,7,3,14,"00:11:11,379","00:11:15,256",1,1,6,0.0,0.0,1.0,1.0,1
440,Oh come on!!,Rachel,sadness,negative,40,14,8,4,"00:05:25,908","00:05:28,118",0,0,7,0.0,0.0,1.0,1.0,1
482,Come on apartment! Come on apartment!  Oh! I know queen is high!,Rachel,anger,negative,46,6,4,19,"00:13:11,332","00:13:19,589",0,1,8,0.0,0.0,1.0,1.0,1
551,"Hi. Look um, about what happened earlier...",Rachel,sadness,negative,51,1,3,15,"00:11:10,086","00:11:14,839",0,0,9,0.0,0.0,1.0,1.0,1
