Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,valence,arousal,Scene_ID,Influence_0,Influence_1,ElapsedTime_0,ElapsedTime_1,Sequence_Length
139,I love your place! Where is this guy from?,Mona,joy,positive,13,0,8,8,"00:10:36,844","00:10:40,930",1,1,1,0.0,0.0,1.0,1.0,1
152,"Uh, well... Joey and I broke up.",Charlie,sadness,negative,15,3,9,23,"00:42:26,126","00:42:29,754",0,0,2,0.0,0.0,1.0,1.0,1
154,"Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!",Charlie,sadness,negative,15,5,9,23,"00:42:36,053","00:42:44,561",0,0,2,0.6890243902439024,0.0,0.0,1.0,2
156,"Anyway I just, uh, I think it's for the best.",Charlie,sadness,negative,15,7,9,23,"00:42:46,313","00:42:50,108",0,0,2,0.6890243902439024,0.0,0.0,1.0,3
158,I guess.,Charlie,sadness,negative,15,9,9,23,"0:42:52,950","0:42:55,208",0,0,2,0.6890243902439024,0.0,0.0,1.0,4
164,Or we could throw you both in,Professore Clerk,joy,positive,15,15,9,23,"0:43:24,905","0:43:27,073",1,1,2,0.6890243902439024,0.0,0.0,1.0,1
186,Pizza delivery!,Caitlin,joy,positive,17,7,5,19,"0:06:47,281","0:06:49,793",1,1,3,0.0,0.0,1.0,1.0,1
188,Hi!,Caitlin,joy,positive,17,9,5,19,"0:06:53,538","0:06:54,665",1,1,3,0.0,0.6518771331058021,1.0,0.0,2
256,": I know, we did it!! Hey, that was incredible, huh?!",Mr. Treeger,joy,positive,25,0,4,4,"00:20:36,693","00:20:40,321",1,1,4,0.0,0.0,1.0,1.0,1
258,": Thank you, listen, thanks a lot Tribbiani, . Oh my God, look at the time, I gotta catch the bus to the ball.",Mr. Treeger,joy,positive,25,2,4,4,"00:20:44,284","00:20:51,916",1,1,4,0.0,0.6518771331058021,1.0,0.0,2
290,I think youve got concussion.,Emily,fear,negative,28,4,4,15,"00:19:30,085","00:19:34,839",0,1,5,0.0,0.0,1.0,1.0,1
292,Youre welcome.  Im sorry. Did I hurt you?,Emily,fear,negative,28,6,4,15,"00:19:38,802","00:19:46,142",0,1,5,0.6890243902439024,0.0,0.0,1.0,2
312,"So Ross, what your problem?",Paul,anger,negative,30,4,6,21,"00:04:33,189","00:04:37,901",0,1,6,0.0,0.0,1.0,1.0,1
314,Why cant you get a girlfriend your own age?,Paul,anger,negative,30,6,6,21,"00:04:41,281","00:04:43,282",0,1,6,0.6890243902439024,0.0,0.0,1.0,2
322,Okay. Ill give you one chance to change my mind.  You got one minute.,Paul,anger,negative,30,14,6,21,"00:05:03,594","00:05:09,057",0,1,6,0.6890243902439024,0.0,0.0,1.0,3
407,Happy?! Is that what Im supposed to be Vic? Happy?,Kate,anger,negative,39,0,3,19,"00:11:00,868","00:11:03,912",0,1,7,0.0,0.0,1.0,1.0,1
414,"Tasty! Im really starting to feel like you guys have a history, its-its nice.",The Director,joy,positive,39,7,3,19,"00:11:23,057","00:11:30,021",1,1,7,0.6890243902439024,0.0,0.0,1.0,1
417,"Well, I dont understand why Adriennes attracted to Victor.",Kate,disgust,negative,39,10,3,19,"00:11:32,692","00:11:37,112",0,1,7,0.0,0.46853668941979526,1.0,0.28125,1
424,It doesnt say that in the script.,Kate,anger,negative,39,17,3,19,"0:12:00,177","0:12:02,529",0,1,7,0.16760052735662487,0.0,0.7567567567567568,1.0,2
441,"Gotta go. I miss you too, I love you, but it's getting real late now",Mr. Tribbiani,sadness,negative,41,0,1,13,"00:04:41,281","00:04:49,162",0,0,8,0.0,0.0,1.0,1.0,1
533,Dont touch him!,Wayne,anger,negative,50,1,6,21,"0:14:15,604","0:14:18,816",0,1,9,0.0,0.0,1.0,1.0,1
573,Hi!,Richard,joy,positive,53,0,6,24,"00:20:42,741","00:20:45,159",1,1,10,0.0,0.0,1.0,1.0,1
579,"Well, it was great seeing you the other night.",Richard,joy,positive,53,6,6,24,"00:20:58,674","00:21:01,384",1,1,10,0.0,0.6518771331058021,1.0,0.0,2
581,No! I came here to tell you something else.  I came here  to tell you I still love you.,Richard,joy,positive,53,8,6,24,"00:21:06,932","00:21:15,481",1,1,10,0.0,0.6518771331058021,1.0,0.0,3
585,"Joey, I am scared to death about this.",Dina,fear,negative,54,3,8,10,"00:19:40,971","00:19:43,764",0,1,11,0.0,0.0,1.0,1.0,1
586,"But I really think I can do it, Im just gonna need some help.",Dina,fear,negative,54,4,8,10,"00:19:43,932","00:19:46,642",0,1,11,0.6890243902439024,0.0,0.0,1.0,2
588,"You bet I am!  And to answer your earlier question, were straight-up gangster rap.",Bobby,joy,positive,54,6,8,10,"00:19:50,939","00:19:55,943",1,1,11,0.6890243902439024,0.0,0.0,1.0,1
589,"Look, Rachels told me how much easier youve made all this on her. Why cant you do that for me?",Dina,anger,negative,54,7,8,10,"00:19:59,698","00:20:07,445",0,1,11,0.0,0.28519624573378843,1.0,0.5625,1
591,And youre my big brother!,Dina,joy,positive,54,9,8,10,"00:20:09,750","00:20:11,250",1,1,11,0.32637997432605903,0.0,0.5263157894736842,1.0,1
594,I was scared of telling you.,Dina,fear,negative,54,12,8,10,"0:20:17,174","0:20:20,476",0,1,11,0.0,0.3621539628365567,1.0,0.4444444444444444,1
596,"Joey, I cant stand the thought of having this baby with you mad at me.",Dina,sadness,negative,54,14,8,10,"00:20:24,306","00:20:28,809",0,0,11,0.3674796747967479,0.0,0.4666666666666667,1.0,2
597,I want him to have his uncle.,Dina,sadness,negative,54,15,8,10,"00:20:28,977","00:20:31,938",0,0,11,0.5439666238767651,0.0,0.21052631578947367,1.0,3
598,Is my baby gonna have his Uncle Joey?,Dina,sadness,negative,54,16,8,10,"00:20:32,105","00:20:34,523",0,0,11,0.5691940615058324,0.0,0.17391304347826086,1.0,4
600,"Were gonna be all right. I mean, even if were not married this baby is gonna be so loved. Not just by us.",Dina,joy,positive,54,18,8,10,"00:20:41,281","00:20:56,712",1,1,11,0.4952362804878048,0.0,0.28125,1.0,1
602,And by you.,Bobby,joy,positive,54,20,8,10,"0:20:52,460","0:20:56,763",1,1,11,0.0,0.2933447098976109,1.0,0.55,2
606,I had a really nice time tonight.,Danny,joy,positive,55,0,5,10,"00:10:50,608","00:10:53,443",1,1,12,0.0,0.0,1.0,1.0,1
614,You are so bad!,Krista,joy,positive,55,8,5,10,"0:11:32,441","0:11:34,331",1,1,12,0.0,0.6518771331058021,1.0,0.0,2
615,You are!,Danny,joy,positive,55,9,5,10,"0:11:34,443","0:11:35,194",1,1,12,0.0,0.6518771331058021,1.0,0.0,3
616,You are!,Krista,joy,positive,55,10,5,10,"0:11:35,194","0:11:35,754",1,1,12,0.0,0.6518771331058021,1.0,0.0,4
617,You are!,Danny,joy,positive,55,11,5,10,"0:11:35,861","0:11:36,373",1,1,12,0.0,0.6518771331058021,1.0,0.0,5
618,You are!,Krista,joy,positive,55,12,5,10,"0:11:36,373","0:11:37,005",1,1,12,0.0,0.6518771331058021,1.0,0.0,6
619,You are!,Danny,joy,positive,55,13,5,10,"0:11:37,005","0:11:37,527",1,1,12,0.0,0.6518771331058021,1.0,0.0,7
620,You are!,Krista,joy,positive,55,14,5,10,"0:11:37,527","0:11:38,371",1,1,12,0.0,0.6518771331058021,1.0,0.0,8
621,You are so dead! I'm gonna get you.,Danny,joy,positive,55,15,5,10,"00:11:38,406","00:11:39,989",1,1,12,0.0,0.6518771331058021,1.0,0.0,9
645,Great job team!,Doug,joy,positive,59,1,3,24,"0:21:04,429","0:21:05,361",1,1,13,0.0,0.0,1.0,1.0,1
647,Phil!,Doug,joy,positive,59,3,3,24,"0:21:07,349","0:21:07,901",1,1,13,0.0,0.6518771331058021,1.0,0.0,2
648,Nice job.,Doug,joy,positive,59,4,3,24,"0:21:07,901","0:21:08,653",1,1,13,0.0,0.6518771331058021,1.0,0.0,3
649,Stevens!,Doug,joy,positive,59,5,3,24,"0:21:08,653","0:21:09,780",1,1,13,0.0,0.6518771331058021,1.0,0.0,4
650,Way to go!,Doug,joy,positive,59,6,3,24,"0:21:09,780","0:21:10,558",1,1,13,0.0,0.6518771331058021,1.0,0.0,5
651,"Joel-burg, you maniac!",Doug,joy,positive,59,7,3,24,"00:21:10,644","00:21:12,853",1,1,13,0.0,0.6518771331058021,1.0,0.0,6
652,I love ya!,Doug,joy,positive,59,8,3,24,"00:21:13,105","00:21:14,689",1,1,13,0.0,0.6518771331058021,1.0,0.0,7
653,Bing!,Doug,joy,positive,59,9,3,24,"00:21:17,109","00:21:20,695",1,1,13,0.0,0.6518771331058021,1.0,0.0,8
657,"Of course, you did.",Doug,joy,positive,61,1,3,24,"0:21:26,493","0:21:27,295",1,1,14,0.0,0.0,1.0,1.0,1
658,Forgot something else too ya bastard!,Doug,joy,positive,61,2,3,24,"0:21:27,295","0:21:28,713",1,1,14,0.0,0.6518771331058021,1.0,0.0,2
662,"Everybody else got one, and you want one too. Dont you?",Doug,joy,positive,61,6,3,24,"00:21:41,675","00:21:44,885",1,1,14,0.0,0.6518771331058021,1.0,0.0,3
664,"Now get on out of here, you!",Doug,joy,positive,61,8,3,24,"00:21:49,850","00:21:51,976",1,1,14,0.0,0.6518771331058021,1.0,0.0,4
666,Hey! Hows my pal Toby doing today?,Bob,joy,positive,62,1,8,5,"00:07:23,484","00:07:26,736",1,1,15,0.0,0.0,1.0,1.0,1
668,Toby!,Bob,joy,positive,62,3,8,5,"00:07:29,532","00:07:32,033",1,1,15,0.0,0.6518771331058021,1.0,0.0,2
744,"...Dammit, hire the girl!  Okay, everybody ready?",Director,anger,negative,68,0,1,6,"00:13:34,730","00:13:39,317",0,1,16,0.0,0.0,1.0,1.0,1
755,"Wow! Thats ah, thats pretty nice!",Tony,joy,positive,70,0,4,2,"00:10:11,611","00:10:14,404",1,1,17,0.0,0.0,1.0,1.0,1
