Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,valence,arousal,Scene_ID,Influence_0,Influence_1,ElapsedTime_0,ElapsedTime_1,Sequence_Length
45,"Oh, totally. Oh, God, oh, she seemed so happy too.",Phoebe,sadness,negative,3,8,3,12,"00:10:36,385","00:10:39,137",0,0,1,0.0,0.0,1.0,1.0,1
111,Nobody!,Phoebe,anger,negative,10,0,5,10,"0:11:57,091","0:11:58,551",0,1,2,0.0,0.0,1.0,1.0,1
112,Nobody respects the bucket!,Phoebe,anger,negative,10,1,5,10,"0:11:58,551","0:11:59,947",0,1,2,0.0,0.8537117903930131,1.0,0.0,2
113,You wouldn't believe what people put in here!,Phoebe,anger,negative,10,2,5,10,"00:12:00,553","00:12:02,721",0,1,2,0.0,0.8537117903930131,1.0,0.0,3
114,Look!,Phoebe,anger,negative,10,3,5,10,"00:12:02,888","00:12:04,597",0,1,2,0.0,0.8537117903930131,1.0,0.0,4
115,"Okay, does this look like a garbage can to you?",Phoebe,anger,negative,10,4,5,10,"00:12:02,888","00:12:07,016",0,1,2,0.0,0.8537117903930131,1.0,0.0,5
126,"Oh, do you need a hug? You dont have to bring me anything!",Phoebe,joy,positive,11,9,4,23,"00:03:44,849","00:03:51,563",1,1,3,0.0,0.0,1.0,1.0,1
175,Oy!!,Phoebe,disgust,negative,16,2,3,25,"00:04:49,455","00:04:50,747",0,1,4,0.0,0.0,1.0,1.0,1
205,"Yay!! Oh so, youre not, youre not mad at us anymore?",Phoebe,joy,positive,20,2,7,7,"00:11:01,535","00:11:06,164",1,1,5,0.0,0.0,1.0,1.0,1
226,I got no sleep last night!,Phoebe,anger,negative,21,6,1,4,"0:02:08,294","0:02:09,587",0,1,6,0.0,0.0,1.0,1.0,1
228,"My grandmother has this new boyfriend, and they're both kind of insecure in bed.",Phoebe,disgust,negative,21,8,1,4,"00:02:10,088","00:02:17,177",0,1,6,0.0,0.8537117903930131,1.0,0.0,2
231,You have no idea how loud they are!,Phoebe,disgust,negative,21,11,1,4,"00:02:24,894","00:02:26,937",0,1,6,0.0,0.8537117903930131,1.0,0.0,3
