Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,valence,arousal,Scene_ID,Influence_0,Influence_1,ElapsedTime_0,ElapsedTime_1,Sequence_Length
48,Hi!,Ross,joy,positive,4,1,3,11,"0:20:24,891","0:20:25,028",1,1,1,0.0,0.0,1.0,1.0,1
56,Im so proud of you.,Ross,joy,positive,4,9,3,11,"0:20:40,614","0:20:41,991",1,1,1,0.0,0.845213849287169,1.0,0.0,2
58,"Listen, Im ah, Im sorry Ive been so crazy and jealous and, its just that I like you a lot, so...",Ross,sadness,negative,4,11,3,11,"00:20:44,284","00:20:53,584",0,0,1,0.0,0.845213849287169,1.0,0.0,1
89,"What?! What is with everybody? Its Thanksgiving, not...Truth-Day!",Ross,anger,negative,7,1,6,9,"00:12:54,106","00:12:58,193",0,1,2,0.0,0.0,1.0,1.0,1
109,Oh my god. You are pure evil.,Ross,disgust,negative,9,12,2,5,"00:02:52,547","00:02:55,299",0,1,3,0.0,0.0,1.0,1.0,1
123,"All right, lets go! Bye, Pheebs!",Ross,joy,positive,11,6,4,23,"00:03:32,503","00:03:34,463",1,1,4,0.0,0.0,1.0,1.0,1
149,Get Out!,Ross,anger,negative,15,0,9,23,"00:42:09,652","00:42:13,488",0,1,5,0.0,0.0,1.0,1.0,1
155,I knew that was him!,Ross,anger,negative,15,6,9,23,"00:42:42,059","00:42:44,561",0,1,5,0.0,0.845213849287169,1.0,0.0,2
165,"Ok, gentlemen!",Ross,anger,negative,15,16,9,23,"0:43:27,187","0:43:28,147",0,1,5,0.0,0.845213849287169,1.0,0.0,3
166,Please!,Ross,anger,negative,15,17,9,23,"0:43:28,147","0:43:28,699",0,1,5,0.0,0.845213849287169,1.0,0.0,4
167,Aren't we a little old for this?,Ross,anger,negative,15,18,9,23,"0:43:28,699","0:43:30,985",0,1,5,0.0,0.845213849287169,1.0,0.0,5
169,We're academics.,Ross,anger,negative,15,20,9,23,"0:43:32,788","0:43:33,798",0,1,5,0.0,0.845213849287169,1.0,0.0,6
170,And most importantly I... you-you will have to catch us first.,Ross,joy,positive,15,21,9,23,"00:43:33,902","00:43:37,780",1,1,5,0.0,0.845213849287169,1.0,0.0,7
172,"GO, GO, GO!",Ross,joy,positive,15,22,9,23,"00:43:37,948","00:43:40,366",1,1,5,0.0,0.845213849287169,1.0,0.0,8
173,"Go, go, go!",Ross,joy,positive,16,0,3,25,"00:04:41,197","00:04:42,239",1,1,6,0.0,0.0,1.0,1.0,1
187,I'll get it! I will get that!,Ross,joy,positive,17,8,5,19,"0:06:49,793","0:06:50,887",1,1,7,0.0,0.0,1.0,1.0,1
189,Hi!,Ross,joy,positive,17,10,5,19,"0:06:54,665","0:06:54,803",1,1,7,0.0,0.845213849287169,1.0,0.0,2
200,"I know!  Don't switch hands, okay?",Ross,fear,negative,18,10,5,21,"00:05:42,383","00:05:45,969",0,1,8,0.0,0.0,1.0,1.0,1
250,Pa-haa!! I would love to go with you.,Ross,joy,positive,24,3,3,14,"00:10:54,987","00:10:56,571",1,1,9,0.0,0.0,1.0,1.0,1
255,"What should I wear, now Im all nervous.",Ross,fear,negative,24,8,3,14,"00:11:15,549","00:11:19,969",0,1,9,0.0,0.845213849287169,1.0,0.0,2
275,Yes!! I knew it!!  Bye-bye! So long! Later!,Ross,joy,positive,26,5,5,18,"00:10:03,144","00:10:13,403",1,1,10,0.0,0.0,1.0,1.0,1
277,Yeah!,Ross,joy,positive,26,7,5,18,"00:10:17,824","00:10:18,743",1,1,10,0.0,0.845213849287169,1.0,0.0,2
286,Please!,Ross,anger,negative,28,0,4,15,"0:19:16,989","0:19:19,201",0,1,11,0.0,0.0,1.0,1.0,1
287,Are you kidding?,Ross,anger,negative,28,1,4,15,"0:19:19,201","0:19:19,673",0,1,11,0.0,0.845213849287169,1.0,0.0,2
288,"I-I hurt three huge men, I gave a guy a bloody noseI mean I-Im not proud of it but, I really am.",Ross,anger,negative,28,2,4,15,"0:19:19,673","0:19:19,821",0,1,11,0.0,0.845213849287169,1.0,0.0,3
289,"And its all because of you, wonderful, amazing you.",Ross,joy,positive,28,3,4,15,"00:19:27,916","00:19:29,917",1,1,11,0.0,0.845213849287169,1.0,0.0,4
291,"No, no, Im serious. Thank you.",Ross,joy,positive,28,5,4,15,"00:19:35,007","00:19:37,592",1,1,11,0.0,0.845213849287169,1.0,0.0,5
293,"Its worth the pain.  Yknow what, you know what? Its not.",Ross,sadness,negative,28,7,4,15,"00:19:47,728","00:19:50,021",0,0,11,0.0,0.845213849287169,1.0,0.0,1
309,It-its great to meet you Paul.,Ross,joy,positive,30,1,6,21,"00:04:23,429","00:04:25,847",1,1,12,0.0,0.0,1.0,1.0,1
315,Thats funny. Umm.  Its not funny.,Ross,fear,negative,30,7,6,21,"00:04:43,992","00:04:52,374",0,1,12,0.0,0.845213849287169,1.0,0.0,2
319,"Umm, but I think if you give me umm, one chance I can, I can change your mind.",Ross,fear,negative,30,11,6,21,"00:04:55,461","00:05:00,799",0,1,12,0.0,0.845213849287169,1.0,0.0,3
339,You have to tell her!,Ross,joy,positive,32,10,1,12,"0:11:35,824","0:11:36,658",1,1,13,0.0,0.0,1.0,1.0,1
340,You have to tell her!,Ross,joy,positive,32,11,1,12,"00:11:36,779","00:11:39,531",1,1,13,0.0,0.845213849287169,1.0,0.0,2
341,"It's your moral obligation, as a friend, as a woman, I think it's a feminist issue!",Ross,anger,negative,32,12,1,12,"00:11:36,779","00:11:43,076",0,1,13,0.0,0.845213849287169,1.0,0.0,3
342,Guys?,Ross,anger,negative,32,13,1,12,"0:11:39,699","0:11:40,033",0,1,13,0.0,0.845213849287169,1.0,0.0,4
343,Guys?,Ross,anger,negative,32,14,1,12,"0:11:40,033","0:11:43,147",0,1,13,0.0,0.845213849287169,1.0,0.0,5
342,Yep! That's hilarious!,Ross,joy,positive,34,3,5,23,"00:14:37,918","00:14:40,086",1,1,14,0.0,0.0,1.0,1.0,1
352,Hey lady! I don't care how much you want it! Okay?! I am,Ross,disgust,negative,34,13,5,23,"00:15:02,234","00:15:06,029",0,1,14,0.0,0.845213849287169,1.0,0.0,2
358,"Oh hey, dont thank me, thank yourself. Youre the one who faced her fears and ultimately overcame them.",Ross,joy,positive,35,5,7,9,"00:21:31,456","00:21:37,837",1,1,15,0.0,0.0,1.0,1.0,1
