Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,valence,arousal,Scene_ID,Influence_0,Influence_1,ElapsedTime_0,ElapsedTime_1,Sequence_Length
71,"Oh no-no-no, give me some specifics.",Joey,anger,negative,6,5,8,22,"00:12:36,368","00:12:38,746",0,1,1,0.0,0.0,1.0,1.0,1
75,You fell asleep!!,Joey,anger,negative,6,9,8,22,"00:12:55,930","00:12:56,931",0,1,1,0.6330275229357798,0.0,0.0,1.0,2
76,There was no kangaroo!,Joey,anger,negative,6,10,8,22,"0:12:58,432","0:12:59,809",0,1,1,0.6330275229357798,0.0,0.0,1.0,3
77,They didnt take any of my suggestions!,Joey,anger,negative,6,11,8,22,"0:12:59,809","0:13:03,196",0,1,1,0.6330275229357798,0.0,0.0,1.0,4
124,"Bye, Pheebs!",Joey,joy,positive,11,7,4,23,"00:03:34,631","00:03:36,340",1,1,2,0.0,0.0,1.0,1.0,1
125,London baby!!,Joey,joy,positive,11,8,4,23,"00:03:40,803","00:03:42,554",1,1,2,0.0,0.5719424460431655,1.0,0.0,2
128,Hey! So Estelle lined up a bunch of auditions for me tomorrow and Ill have my health insurance back in no time.,Joey,joy,positive,12,1,6,4,"00:09:47,295","00:09:56,177",1,1,3,0.0,0.0,1.0,1.0,1
133,"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, havent been able to stand up since.",Joey,fear,negative,12,6,6,4,"00:10:08,190","00:10:18,575",0,1,3,0.0,0.5719424460431655,1.0,0.0,1
136,"No way! Kay look, if I have to go to the doctor for anything its gonna be for this thing sticking out of my stomach!",Joey,fear,negative,12,9,6,4,"00:10:24,874","00:10:31,463",0,1,3,0.3592858913959831,0.0,0.43243243243243246,1.0,2
138,Why did I have to start working out again?  Damn you 15s!,Joey,anger,negative,12,11,6,4,"00:10:36,177","00:10:41,556",0,1,3,0.47800037446171123,0.0,0.24489795918367346,1.0,3
179,"Okay, see that blind guy right there? I'm gonna bash his head in later.",Joey,anger,negative,17,0,5,19,"00:06:15,416","00:06:19,127",0,1,4,0.0,0.0,1.0,1.0,1
180,"Oh umm, my big scene is coming up. Big scene coming up.",Joey,joy,positive,17,1,5,19,"00:06:21,506","00:06:25,542",1,1,4,0.6330275229357798,0.0,0.0,1.0,1
193,"Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!",Joey,joy,positive,18,3,5,21,"00:05:14,022","00:05:19,109",1,1,5,0.0,0.0,1.0,1.0,1
195,Okay!,Joey,joy,positive,18,5,5,21,"00:05:23,489","00:05:24,990",1,1,5,0.0,0.5719424460431655,1.0,0.0,2
196,Uh-oh.,Joey,fear,negative,18,6,5,21,"0:05:28,578","0:05:29,670",0,1,5,0.0,0.5719424460431655,1.0,0.0,1
198,I have to pee. And Rachel's in the bathroom!,Joey,sadness,negative,18,8,5,21,"00:05:30,330","00:05:34,166",0,0,5,0.4521625163826999,0.0,0.2857142857142857,1.0,2
204,"Oh, unbelievable! We had the best time!",Joey,joy,positive,20,1,7,7,"00:10:59,408","00:11:01,368",1,1,6,0.0,0.0,1.0,1.0,1
206,No!,Joey,joy,positive,20,3,7,7,"0:11:02,703","0:11:03,538",1,1,6,0.0,0.5719424460431655,1.0,0.0,2
207,No!,Joey,joy,positive,20,4,7,7,"0:11:03,538","0:11:04,760",1,1,6,0.0,0.5719424460431655,1.0,0.0,3
208,No!,Joey,joy,positive,20,5,7,7,"0:11:04,760","0:11:05,303",1,1,6,0.0,0.5719424460431655,1.0,0.0,4
209,You guys were totally right!,Joey,joy,positive,20,6,7,7,"0:11:05,303","0:11:06,298",1,1,6,0.0,0.5719424460431655,1.0,0.0,5
210,This is so much better than the first time we went out.,Joey,joy,positive,20,7,7,7,"00:11:06,374","00:11:08,625",1,1,6,0.0,0.5719424460431655,1.0,0.0,6
215,And!,Joey,joy,positive,20,12,7,7,"0:11:16,801","0:11:18,595",1,1,6,0.0,0.5719424460431655,1.0,0.0,7
216,We have so much in common!,Joey,joy,positive,20,13,7,7,"0:11:18,595","0:11:18,734",1,1,6,0.0,0.5719424460431655,1.0,0.0,8
217,"She loves sandwiches, sports, although she is a Met fan, not much of an issue now but if we were ever to have kids, well thats a",Joey,joy,positive,20,14,7,7,"00:11:18,928","00:11:31,356",1,1,6,0.0,0.5719424460431655,1.0,0.0,9
234,Ew! What is that? Something exploded!,Joey,disgust,negative,22,0,1,23,"00:09:00,248","00:09:03,667",0,1,7,0.0,0.0,1.0,1.0,1
257,"I know, it was amazing! I mean, we totally nailed it, it was beautiful.",Joey,joy,positive,25,1,4,4,"00:20:40,572","00:20:44,075",1,1,8,0.0,0.0,1.0,1.0,1
259,"Oh well, okay, good luck.",Joey,joy,positive,25,3,4,4,"00:20:52,459","00:20:56,462",1,1,8,0.0,0.5719424460431655,1.0,0.0,2
276,Oh this is great! I might actually get to play Ben's dad!,Joey,joy,positive,26,6,5,18,"00:10:15,281","00:10:17,824",1,1,9,0.0,0.0,1.0,1.0,1
281,"Man, this is gonna be kinda weird.",Joey,sadness,negative,26,11,5,18,"00:10:29,920","00:10:35,508",0,0,9,0.0,0.5719424460431655,1.0,0.0,1
329,Its the big night! We wanted to wish you good luck!,Joey,joy,positive,33,1,6,24,"00:04:01,741","00:04:03,951",1,1,10,0.0,0.0,1.0,1.0,1
392,Wow! This looks great!,Joey,joy,positive,37,1,7,19,"00:15:47,529","00:15:48,905",1,1,11,0.0,0.0,1.0,1.0,1
394,And-and-and-and-and the toothpicks?,Joey,disgust,negative,37,3,7,19,"00:15:54,078","00:15:56,871",0,1,11,0.0,0.5719424460431655,1.0,0.0,1
408,"Well, why dont you tell me what youre supposed to be!",Joey,anger,negative,39,1,3,19,"0:11:05,623","0:11:07,515",0,1,12,0.0,0.0,1.0,1.0,1
410,Because I sure as hell cant figure it out!,Joey,anger,negative,39,3,3,19,"00:11:08,376","00:11:10,835",0,1,12,0.6330275229357798,0.0,0.0,1.0,2
